System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
18:51:13:298, 2757838693488233,    0.116,   14.000, 3400,  35.401,   4.124,   1.146,  27.936,   3.254,   0.904, 84,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:13:436, 2757839095974704,    0.254,   15.000, 3900,  35.176,   8.975,   2.493,  27.864,   7.097,   1.971, 97,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:13:634, 2757839676053797,    0.453,   14.000, 4200,  35.405,  16.012,   4.448,  27.639,  12.591,   3.497, 97,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:13:791, 2757840132707181,    0.610,   15.000, 4300,  34.373,  21.391,   5.942,  26.734,  16.774,   4.659, 89,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:13:944, 2757840580791864,    0.763,   26.000, 4100,  43.628,  28.089,   7.803,  35.443,  22.216,   6.171, 97,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:14:055, 2757840902736645,    0.873,   17.000, 4200,  37.048,  32.176,   8.938,  29.023,  25.418,   7.060, 96,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:14:192, 2757841301930488,    1.010,   15.000, 4300,  35.105,  36.978,  10.272,  27.555,  29.187,   8.107, 94,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:14:316, 2757841665380967,    1.135,   13.000, 4100,  34.094,  41.224,  11.451,  26.538,  32.492,   9.025, 94,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:14:456, 2757842073277984,    1.275,   16.000, 4100,  35.274,  46.154,  12.821,  27.739,  36.369,  10.102, 93,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:14:627, 2757842573251197,    1.446,   21.000, 4200,  38.222,  52.703,  14.640,  30.211,  41.544,  11.540, 94,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
18:51:14:751, 2757842936529313,    1.570,   16.000, 4300,  32.478,  56.745,  15.763,  24.896,  44.643,  12.401, 95,  0,   0.000,   0.000,   0.000, 135.000, 135.000,   0.000,   0.000,   0.000
